port_name,type,original_count,normalized_count,cleaned_count,total_occurrences,notes
CLIFF'S CREEK,destination,2,2,2,2,
CLIFFE CREEK,destination,5,5,5,5,
Colchester,destination,23,23,23,23,removed in cleanup; inferred
COLERAINE,destination,4,4,4,4,
COMMERCIAL DOCKS,destination,44,44,46,46,
Cork,destination + origin,59,59,59,59,
COTTON'S,destination,0,0,5,5,inferred
COTTON'S WHARF,destination,5,5,0,5,removed in cleanup
Cowes,destination,11,11,11,11,removed in cleanup; inferred
CUSTOM HOUSE,destination,1,1,1,1,
Carnavon,destination,0,26,26,26,inferred
Charleston,origin + destination,28,32,32,32,
DARTMOUTH,destination,8,8,8,8,
DEADMAN,destination,0,0,1,1,inferred
DEADMAN DOCK BUOYS,destination,1,1,0,1,removed in cleanup
DEADMAN'S,destination,0,0,4,4,inferred
DEADMAN'S BUOYS,destination,2,2,0,2,removed in cleanup
DEADMAN'S DOCK,destination,2,2,2,2,
DEADMAN'S DOCK BUOYS,destination,2,2,0,2,removed in cleanup
DEADMAN'S DOCKS BROKERAGE,destination,1,1,1,1,
DEAL,destination,2,0,0,2,removed in cleanup
DEPTFORD,destination,34,34,38,38,
DEPTFORD BUOYS,destination,4,4,0,4,removed in cleanup
DIVIDENDS,destination,1,1,0,1,removed in cleanup
Douglas,destination,13,13,13,13,removed in cleanup; inferred
DOUGLAS (ISLE OF MAN),destination,4,4,4,4,
Dover,destination,32,32,32,32,removed in cleanup; inferred
Drogheda,destination + origin,7,7,7,7,
Dublin,destination + origin,124,124,127,127,
DUNBAR,destination,4,4,4,4,
DUNDALK,destination,40,40,44,44,
Dundee,destination,1017,1017,1036,1036,removed in cleanup; inferred
Dal,destination,0,2,2,2,inferred
EAST INDIA DOCKS,destination,3,3,3,3,
ENGLAND AND WALES,destination,15,15,15,15,
ERITH,destination,1,1,1,1,
ERRATA,destination,20,20,0,20,removed in cleanup
ERRATUM,destination,4,4,4,4,
Exeter,destination,24,24,24,24,removed in cleanup; inferred
FAILURES AND ARRANGEMENTS,destination,8,8,0,8,removed in cleanup
Falmouth,destination,16,16,16,16,removed in cleanup; inferred
Faversham,destination,28,28,28,28,removed in cleanup; inferred
FISHEROW,destination,1,1,1,1,
FISHERROWS,destination,4,4,4,4,
Fleetwood,destination,56,56,56,56,removed in cleanup; inferred
FLETCHER'S,destination,0,0,1,1,inferred
FLETCHER'S BUOYS,destination,1,1,0,1,removed in cleanup
Folkestone,destination,18,18,18,18,removed in cleanup; inferred
FORT GLASGOW,destination,1,1,1,1,
Fowey,destination,30,30,30,30,removed in cleanup; inferred
Fraserburgh,destination,46,46,46,46,removed in cleanup; inferred
FREIGHT AND SHORT DELIVERY,destination,1,1,1,1,
FREIGHTS,destination,15,15,0,15,removed in cleanup
FRESH,destination,0,0,2,2,inferred
FRESH WHARF,destination,2,2,0,2,removed in cleanup
GALLEON'S,destination,0,0,1,1,inferred
GALLEON'S BUOYS,destination,1,1,0,1,removed in cleanup
Galway,destination + origin,19,19,19,19,
GLASGOW,destination,662,0,0,662,removed in cleanup
Gloucester,destination + origin,325,1,1,325,removed in cleanup
Goole,destination,132,132,132,132,removed in cleanup; inferred
GOVERNMENT,destination,0,0,1,1,inferred
GOVERNMENT DOCK BUOYS,destination,1,1,0,1,removed in cleanup
GRANGE MOUTH,destination,1,0,0,1,removed in cleanup
Grangemouth,destination + origin,990,1,1,990,removed in cleanup
Granton,destination,379,379,380,380,removed in cleanup; inferred
GRANVILLE DOCKS,destination,1,1,1,1,
GRAVESEND,destination,7,7,7,7,
GRAYS,destination,8,8,8,8,
GREAT YARMOUTH,destination,99,99,117,117,
GREENHITHE,destination,13,13,13,13,
Greenock,destination,264,267,269,269,removed in cleanup; inferred
GREENWICH,destination,1,1,1,1,
GRENOCK,destination,3,0,0,3,removed in cleanup
Grimsby,destination + origin,890,4,4,890,removed in cleanup
Glasglow,destination,0,662,671,671,inferred
HANOVER HOLE,destination,11,11,11,11,
HARTLEPOOL,destination,4,4,4,4,
Hartlepool (West),destination,1013,1014,1017,1017,removed in cleanup; inferred
Harwich,destination,57,57,59,59,removed in cleanup; inferred
Havre,destination + origin,35,33,33,35,removed in cleanup
Hayle,destination + origin,2,2,2,2,
HORS LEYDOWN,destination,1,1,1,1,
HORSELYDOWN,destination,1,1,1,1,
HORSLEYDOWN,destination,1,1,1,1,
Hull,destination + origin,2529,3,3,2529,removed in cleanup
IMPORTS,destination,3,3,0,3,removed in cleanup
INVERKEITHING,destination,32,32,32,32,
Inverness,destination + origin,42,1,1,42,removed in cleanup
Ipswich,destination + origin,40,1,1,40,removed in cleanup
Idefjord,origin + destination,0,1,1,1,inferred
JOSEPH GARDNER & SONS,destination,2,2,2,2,
KATHARINE'S DOCK,destination,1,1,1,1,
KING'S LYNN,destination,52,52,52,52,
Kirkcaldy,destination,93,93,93,93,removed in cleanup; inferred
KIRKWALL,destination,16,16,16,16,
Lancaster,destination,26,26,26,26,removed in cleanup; inferred
Leith,destination,948,948,957,957,removed in cleanup; inferred
Lerwick,destination,25,25,25,25,removed in cleanup; inferred
Limerick,destination + origin,44,44,44,44,
LIQUIDATIONS,destination,11,11,0,11,removed in cleanup
Littlehampton,destination,34,34,34,34,removed in cleanup; inferred
Liverpool,destination + origin,3464,1,1,3464,removed in cleanup
Llanelly,destination,108,108,109,109,removed in cleanup; inferred
London,destination,3336,3336,3368,3368,removed in cleanup; inferred
LONDON DOCK DELIVERIES,destination,3,3,3,3,
LONDON SALES,destination,1,1,1,1,
LONDONDERRY,destination,31,31,31,31,
LONG REACH,destination,1,1,1,1,
LOWER HOPE,destination,1,1,1,1,
Lowestoft,destination,60,60,60,60,removed in cleanup; inferred
Lynn,destination,193,193,193,193,removed in cleanup; inferred
MALDON,destination,14,14,14,14,
MANCHESTER,destination,6,6,6,6,
MARK,destination,0,0,1,1,inferred
MARK BROWN'S WHARF,destination,1,1,0,1,removed in cleanup
Maryport,destination,32,32,32,32,removed in cleanup; inferred
MIDDLESBRO',destination,5,5,5,5,
Middlesbrough,destination,215,215,215,215,removed in cleanup; inferred
Milford,destination + origin,24,2,2,24,removed in cleanup
MILL HOLE,destination,6,6,6,6,
MILLWALL,destination,18,18,19,19,
MILLWALL DOCKS,destination,466,466,471,471,
MILLWALL STAIRS,destination,1,1,0,1,removed in cleanup
MILWALL,destination,2,2,2,2,
Montrose,destination + origin,92,1,1,92,removed in cleanup
MORRISONSHAVEN,destination,18,18,18,18,
Newcastle,destination + origin,29,3,3,29,removed in cleanup
Newhaven,destination,103,103,103,103,removed in cleanup; inferred
Newport,destination,678,678,691,691,removed in cleanup; inferred
NEWPORT (MON.),destination,105,105,105,105,
Newry,destination + origin,26,26,26,26,
NORTH ALLOA,destination,1,1,1,1,
NORTHFLEET,destination,24,24,24,24,
New Orleans,origin + destination,244,248,249,249,
OPENING OF A NEW TIMBER YARD,destination,1,1,1,1,
OTHER,destination,0,0,1,1,inferred
OTHER DOCKS,destination,3,3,3,3,
OTHER DOCKS AND WHARFS,destination,1,1,0,1,removed in cleanup
OTHER DOCKS AND WHARVES,destination,117,117,117,117,
PADSTOW,destination,3,3,3,3,
PEART'S BLUE OR TIMBER MARKING INK,destination,1,1,1,1,
Penzance,destination + origin,21,2,2,21,removed in cleanup
Perth,destination,17,17,17,17,removed in cleanup; inferred
Peterhead,destination,60,60,60,60,removed in cleanup; inferred
pitwood,destination + origin,351,351,0,351,removed in cleanup
Plymouth,destination,240,240,240,240,removed in cleanup; inferred
POOL (WEST),destination,29,29,29,29,
Poole,destination + origin,239,3,3,239,removed in cleanup
Port Glasgow,destination + origin,35,35,35,35,
Portsmouth,destination,69,69,69,69,removed in cleanup; inferred
PRINCE,destination,0,0,8,8,inferred
PRINCE REGENT'S CANAL DOCKS,destination,1,1,1,1,
PRINCE REGENT'S WHARF,destination,8,8,0,8,removed in cleanup
PRINCE'S,destination,0,0,1,1,inferred
PRINCE'S WHARF,destination,1,1,0,1,removed in cleanup
Quebec,destination + origin,1380,1380,1463,1463,removed in cleanup
QUEBEC DOCKS,destination,1,1,1,1,
QUEENBORO',destination,1,1,1,1,
Queenborough,destination,15,15,15,15,removed in cleanup; inferred
QUEENBOROUGH PIER,destination,3,3,3,3,
R. M,destination,3,3,3,3,
Ramsey,destination,11,11,11,11,removed in cleanup; inferred
RAMSEY (ISLE OF MAN),destination,2,2,2,2,
Ramsgate,destination,20,20,20,20,removed in cleanup; inferred
READING,destination,8,8,10,10,
REGENT'S,destination,0,0,2,2,inferred
REGENT'S CANAL,destination,1,1,1,1,
REGENT'S CANAL DOCK,destination,30,30,30,30,
REGENT'S CANAL DOCKS,destination,99,99,99,99,
REGENT'S WHARF,destination,2,2,0,2,removed in cleanup
Rochester,destination,100,100,100,100,removed in cleanup; inferred
ROTHERHITHE,destination,4,4,4,4,
ROYAL ALBERT DOCK,destination,8,8,8,8,
ROYAL ALBERT DOCKS,destination,46,46,46,46,
ROYAL VICTORIA DOCKS,destination,8,8,8,8,
RTLEPOOL (WEST),destination,1,0,0,1,removed in cleanup
RUNCORN,destination,1,1,1,1,
RYE,destination,4,4,4,4,
Scarborough,destination,19,19,19,19,removed in cleanup; inferred
SCOTLAND,destination,3,3,3,3,
SHEERNESS,destination,2,2,2,2,
SHEERNESS DOCKYARD,destination,1,1,1,1,
Shoreham,destination,67,67,67,67,removed in cleanup; inferred
SILVERTOWN,destination,5,5,7,7,
SILVERTOWN WHARF,destination,2,2,0,2,removed in cleanup
SKIBBEREEN,destination,5,5,5,5,
SLIGO,destination,14,14,14,14,
SOUTH ALLOA,destination,43,43,48,48,
SOUTH QUEENSFERRY,destination,6,6,6,6,
Southampton,destination + origin,321,6,6,321,removed in cleanup
St.,destination + origin,1,1,2,2,inferred
ST. DAVID'S,destination,1,1,1,1,
ST. KATHARINE'S DOCK,destination,4,4,4,4,
ST. KATHARINE'S DOCKS,destination,4,4,4,4,
ST. KATHARINE'S WHARF,destination,1,1,0,1,removed in cleanup
Stockton,destination,59,59,59,59,removed in cleanup; inferred
STONE,destination,0,0,2,2,inferred
STONE STAIRS,destination,2,2,0,2,removed in cleanup
Stornoway,destination,11,11,11,11,removed in cleanup; inferred
STRANRAER,destination,4,4,4,4,
Sunderland,destination + origin,2608,3,3,2608,removed in cleanup
SURREY COMMERCIAL DOCKS,destination,2001,2001,2020,2020,
SURREY DOCKS,destination,8,8,8,8,
Swansea,destination,629,629,660,660,removed in cleanup; inferred
SWANWICH,destination,14,14,14,14,
Teignmouth,destination,22,22,22,22,removed in cleanup; inferred
THE MISSISSIPPI VALLEY,destination,9,9,9,9,
THE SAGINAW VALLEY,destination,1,1,1,1,
THE TIMBER TRADES JOURNAL,destination,210,210,0,210,removed in cleanup
THE TYNE,destination,270,270,275,275,
THOMAS ROEBUCK & COMPANY (LIMITED),destination,2,2,2,2,
TILBURY,destination,2,2,2,2,
TILBURY DOCK,destination,1,1,1,1,
TILBURY DOCKS,destination,17,17,17,17,
TRADE ITEMS,destination,3,3,0,3,removed in cleanup
TRALEE,destination,10,10,10,10,
Troon,destination + origin,25,1,1,25,removed in cleanup
Truro,destination,40,40,40,40,removed in cleanup; inferred
TUNNEL PIER,destination,1,1,1,1,
Tyne,destination,1423,1423,1437,1437,removed in cleanup; inferred
VICTORIA DOCK,destination,6,6,6,6,
VICTORIA DOCKS,destination,141,141,141,141,
Waterford,destination + origin,52,52,58,58,
WEST HARTLEPOOL,destination,1266,1266,1276,1276,
WEST INDIA DOCKS,destination,22,22,22,22,
WESTPORT,destination,3,3,3,3,
WEXFORD,destination,10,10,10,10,
Weymouth,destination + origin,14,3,3,14,removed in cleanup
Whitby,destination,12,12,12,12,removed in cleanup; inferred
Whitehaven,destination,39,39,39,39,removed in cleanup; inferred
Wick,destination,68,68,68,68,removed in cleanup; inferred
WIGTOWN,destination,1,1,1,1,
WISBEACH,destination,1,0,0,1,removed in cleanup
Wisbech,destination,193,195,195,195,removed in cleanup; inferred
WISPECH,destination,1,0,0,1,removed in cleanup
WOODBRIDGE,destination,2,2,2,2,
Woolwich,destination + origin,12,12,12,12,
Workington,destination,1,1,1,1,removed in cleanup; inferred
Y COMMERCIAL DOCKS,destination,2,2,2,2,
Yarmouth,destination + origin,202,2,2,202,removed in cleanup
Youghal,destination + origin,12,12,12,12,
